,year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,version,partyColor,votePercent
1160,2000,Florida,FL,Alachua,12001.0,President,Al Gore,democrat,47365.0,85729,20191203,b,0.5524968213789966
1161,2000,Florida,FL,Alachua,12001.0,President,George W. Bush,republican,34124.0,85729,20191203,r,0.39804500227460954
1162,2000,Florida,FL,Alachua,12001.0,President,Ralph Nader,green,3226.0,85729,20191203,g,0.037630206814496844
1163,2000,Florida,FL,Alachua,12001.0,President,Other,,1014.0,85729,20191203,y,0.011827969531897024
1164,2000,Florida,FL,Baker,12003.0,President,Al Gore,democrat,2392.0,8154,20191203,b,0.2933529556046112
1165,2000,Florida,FL,Baker,12003.0,President,George W. Bush,republican,5610.0,8154,20191203,r,0.6880058866813834
1166,2000,Florida,FL,Baker,12003.0,President,Ralph Nader,green,53.0,8154,20191203,g,0.006499877360804513
1167,2000,Florida,FL,Baker,12003.0,President,Other,,99.0,8154,20191203,y,0.012141280353200883
1168,2000,Florida,FL,Bay,12005.0,President,Al Gore,democrat,18850.0,58805,20191203,b,0.32055097355667034
1169,2000,Florida,FL,Bay,12005.0,President,George W. Bush,republican,38637.0,58805,20191203,r,0.6570359663293938
1170,2000,Florida,FL,Bay,12005.0,President,Ralph Nader,green,828.0,58805,20191203,g,0.014080435337131197
1171,2000,Florida,FL,Bay,12005.0,President,Other,,490.0,58805,20191203,y,0.008332624776804694
1172,2000,Florida,FL,Bradford,12007.0,President,Al Gore,democrat,3075.0,8673,20191203,b,0.3545485991006572
1173,2000,Florida,FL,Bradford,12007.0,President,George W. Bush,republican,5414.0,8673,20191203,r,0.6242361351320189
1174,2000,Florida,FL,Bradford,12007.0,President,Ralph Nader,green,84.0,8673,20191203,g,0.009685230024213076
1175,2000,Florida,FL,Bradford,12007.0,President,Other,,100.0,8673,20191203,y,0.011530035743110803
1176,2000,Florida,FL,Brevard,12009.0,President,Al Gore,democrat,97318.0,218395,20191203,b,0.44560543968497446
1177,2000,Florida,FL,Brevard,12009.0,President,George W. Bush,republican,115185.0,218395,20191203,r,0.5274159206941551
1178,2000,Florida,FL,Brevard,12009.0,President,Ralph Nader,green,4470.0,218395,20191203,g,0.02046750154536505
1179,2000,Florida,FL,Brevard,12009.0,President,Other,,1422.0,218395,20191203,y,0.0065111380755053915
1180,2000,Florida,FL,Broward,12011.0,President,Al Gore,democrat,387703.0,575143,20191203,b,0.6740984416049574
1182,2000,Florida,FL,Broward,12011.0,President,Ralph Nader,green,7104.0,575143,20191203,g,0.012351710791924791
1183,2000,Florida,FL,Broward,12011.0,President,Other,,2434.0,575143,20191203,y,0.004231991000499006
1184,2000,Florida,FL,Calhoun,12013.0,President,Al Gore,democrat,2155.0,5174,20191203,b,0.416505604947816
1185,2000,Florida,FL,Calhoun,12013.0,President,George W. Bush,republican,2873.0,5174,20191203,r,0.5552763819095478
1186,2000,Florida,FL,Calhoun,12013.0,President,Ralph Nader,green,39.0,5174,20191203,g,0.007537688442211055
1187,2000,Florida,FL,Calhoun,12013.0,President,Other,,107.0,5174,20191203,y,0.020680324700425204
1188,2000,Florida,FL,Charlotte,12015.0,President,Al Gore,democrat,29645.0,66896,20191203,b,0.4431505620664913
1189,2000,Florida,FL,Charlotte,12015.0,President,George W. Bush,republican,35426.0,66896,20191203,r,0.5295682850992586
1190,2000,Florida,FL,Charlotte,12015.0,President,Ralph Nader,green,1462.0,66896,20191203,g,0.021854819421191104
1191,2000,Florida,FL,Charlotte,12015.0,President,Other,,363.0,66896,20191203,y,0.005426333413059077
1192,2000,Florida,FL,Citrus,12017.0,President,Al Gore,democrat,25525.0,57206,20191203,b,0.44619445512708455
